Feature,Skewness,Kurtosis
id,0.07340197744626495,-1.8147864876399973
scrape_id,-0.8782778883957828,-1.2252413306269272
host_id,1.0774654814277194,-0.37563445360924774
host_response_rate,-3.0470001197620022,8.626764138635561
host_acceptance_rate,-1.3386260244902441,0.5027610122517099
host_listings_count,14.426771998382259,446.43626382442216
host_total_listings_count,30.176653191190145,1334.0068467447536
latitude,0.3638393575739884,-0.034815186581999225
longitude,0.08543914017026424,0.11245709431975515
accommodates,2.1311108457007726,8.850328543262043
bathrooms,3.6422785524632126,26.558551112384823
bedrooms,1.806977108858766,7.000612071546444
beds,7.361415781787469,141.8403091064535
price,22.62500111628697,799.6493870774153
minimum_nights,19.59234488074574,473.7306780880281
maximum_nights,0.44124271085911626,-1.5075330318384004
minimum_minimum_nights,19.38192599496936,463.0991569357648
maximum_minimum_nights,7.651114564245932,82.8057230165053
minimum_maximum_nights,0.023334049695422538,-1.8023077395789273
maximum_maximum_nights,19.54808438944879,380.1276033044571
minimum_nights_avg_ntm,17.027503174815386,372.875031630803
maximum_nights_avg_ntm,19.547982621475963,380.1249577449432
availability_30,0.7626534964579227,-0.8236191405279736
availability_60,0.4978290994245784,-1.220402638495644
availability_90,0.380916069076551,-1.362571112355278
availability_365,0.5477759064204488,-1.1850532743497078
number_of_reviews,5.738736971686237,53.500432472755385
number_of_reviews_ltm,3.491170620579352,19.33425753575
number_of_reviews_l30d,2.806662791767831,9.288168338828102
review_scores_rating,-4.532481753257691,32.36458732419407
review_scores_accuracy,-4.73863994184571,35.14250678333263
review_scores_cleanliness,-3.7346955438804943,24.091753832027027
review_scores_checkin,-5.940794122581313,48.848138638772966
review_scores_communication,-6.012057111161926,50.60971973020169
review_scores_location,-4.634316120485262,35.50616866366336
review_scores_value,-3.1019829714963083,16.375330069027974
calculated_host_listings_count,2.292081738944346,4.165467259527672
calculated_host_listings_count_entire_homes,2.304904708073789,4.205282067241971
calculated_host_listings_count_private_rooms,5.153964559276653,35.70971351884464
calculated_host_listings_count_shared_rooms,18.49171205838721,362.80013389210416
reviews_per_month,2.1903275901855324,5.322139040243423
host_experience_days,-0.5511841142339203,-0.7442286291105362
listing_age_days,1.0248130584655337,0.05690071330798574
days_since_last_review,2.7115941763132594,8.729687399885504
distance_to_center_km,0.4735284677871055,-0.5732127102601572
price_per_person,48.22553587583522,2538.1318899032904
amenity_count,0.20593160031899546,-0.5501818378260643
neighbourhood_group_cleansed__Kreis 1,3.210138277927922,8.30498776341804
neighbourhood_group_cleansed__Kreis 10,3.7405015302268905,11.991351697629717
neighbourhood_group_cleansed__Kreis 11,2.5630549260460103,4.569250553928716
neighbourhood_group_cleansed__Kreis 12,6.5579954423655975,41.007304222087946
neighbourhood_group_cleansed__Kreis 2,3.1083596131655438,7.661899484758642
neighbourhood_group_cleansed__Kreis 3,2.0608633418206495,2.247157713660176
neighbourhood_group_cleansed__Kreis 4,2.194136526180412,2.8142350955190443
neighbourhood_group_cleansed__Kreis 5,4.1146558419004755,14.930392697285725
neighbourhood_group_cleansed__Kreis 6,3.3480100698669566,9.209171427930539
neighbourhood_group_cleansed__Kreis 7,2.7605165492330728,5.620451618589669
neighbourhood_group_cleansed__Kreis 8,2.9678540225529444,6.808157499183684
neighbourhood_group_cleansed__Kreis 9,2.975312209477732,6.852482743867268
neighbourhood_cleansed__Affoltern,6.455624081340031,39.67508227957734
neighbourhood_cleansed__Albisrieden,6.720255808049383,43.161838125621465
neighbourhood_cleansed__Alt-Wiedikon,3.896399438880178,13.181928587305762
neighbourhood_cleansed__Altstetten,3.5537704653710573,10.629284520543624
neighbourhood_cleansed__City,14.733499017295738,215.07599329265437
neighbourhood_cleansed__Enge,4.678537013481269,19.888708586514234
neighbourhood_cleansed__Escher Wyss,7.213623883981712,50.036369539551366
neighbourhood_cleansed__Fluntern,7.910036826097505,60.568682590218685
neighbourhood_cleansed__Friesenberg,7.14643133216129,49.0714807852966
neighbourhood_cleansed__Gewerbeschule,5.3060730598421975,26.154411316383147
neighbourhood_cleansed__Hard,4.881605996570105,21.83007710574922
neighbourhood_cleansed__Hirslanden,6.002192581838213,34.02631578947369
neighbourhood_cleansed__Hirzenbach,8.718533162913387,74.01282051282054
neighbourhood_cleansed__Hochschulen,9.985481102164849,97.70983284169128
neighbourhood_cleansed__Hottingen,5.135965284240312,24.378139400921658
neighbourhood_cleansed__Höngg,5.768485935241426,31.275429985078134
neighbourhood_cleansed__Langstrasse,3.319404946351222,9.01844919786096
neighbourhood_cleansed__Leimbach,15.929655051771407,251.75391006842636
neighbourhood_cleansed__Lindenhof,8.718533162913387,74.01282051282054
neighbourhood_cleansed__Mühlebach,5.396842669933974,27.125910804020084
neighbourhood_cleansed__Oberstrass,6.043672230190355,34.52597402597404
neighbourhood_cleansed__Oerlikon,3.9660196210895355,13.729311634867194
neighbourhood_cleansed__Rathaus,4.194183719470508,15.591177072671453
neighbourhood_cleansed__Saatlen,19.54808439001714,380.1276033192319
neighbourhood_cleansed__Schwamendingen-Mitte,12.290505840382636,149.05653381247964
neighbourhood_cleansed__Seebach,5.524482777573603,28.519909959707338
neighbourhood_cleansed__Seefeld,5.306073059842196,26.154411316383133
neighbourhood_cleansed__Sihlfeld,3.4474480692311023,9.884898190045252
neighbourhood_cleansed__Unterstrass,4.365174190489335,17.054745713314222
neighbourhood_cleansed__Weinegg,6.506257941217007,40.33139239764938
neighbourhood_cleansed__Werd,6.610878060370035,41.70370872908188
neighbourhood_cleansed__Wipkingen,5.366133924936186,26.795393300351027
neighbourhood_cleansed__Witikon,6.8347702952345415,44.714084988620456
neighbourhood_cleansed__Wollishofen,5.0301819733655435,23.302730685171685
room_type__Entire home/apt,-1.16926084998575,-0.6328290646906019
room_type__Hotel room,18.421082026331508,337.33626302083366
room_type__Private room,1.2289374888840157,-0.48971264841545104
room_type__Shared room,12.290505840382632,149.0565338124797
tourism_barorpub,2.8400476475359704,8.357656182377664
tourism_bedandbreakfast,29.74375416858691,918.7511146181799
tourism_cafeorcoffeeshop,3.8841796444912853,16.41266747825767
tourism_campground,37.595672453577045,1577.4524598916867
tourism_casino,13.30422624328525,237.16242091942618
tourism_church,6.473977255584998,48.09339657093414
tourism_civicstructure,4.058183482157581,16.454627279267847
tourism_dayspa,6.834551086061832,59.465899904186884
tourism_entertainmentbusiness,14.227086343788525,232.53096629352547
tourism_hostel,20.389522615715176,478.2982634408743
tourism_hotel,3.6665870374643323,13.806403448587673
tourism_landform,,
tourism_localbusiness,8.856977482552477,101.37901288884945
tourism_lodgingbusiness,9.219318334179414,100.65125896055946
tourism_movietheater,9.285584299367148,121.64896575475362
tourism_museum,6.377606117327679,55.8090038178424
tourism_musicvenue,6.95794118588616,60.55006610774158
tourism_nightclub,4.687417605310189,25.557093108333202
tourism_park,4.832183702327303,29.46613622264266
tourism_performingartstheater,4.6546887592827035,24.623040571196906
tourism_place,,
tourism_publicswimmingpool,6.781511727969174,68.2124668178891
tourism_restaurant,3.396526858798344,11.924355815986171
tourism_shoppingcenter,14.652555402351357,282.8110546552074
tourism_sportsactivitylocation,5.890872282901183,45.34167127361807
tourism_store,3.8966987524263264,17.186962863831855
tourism_touristattraction,3.779511993107825,15.083067481355648
tourism_winery,,
tourism_zoo,20.353481827478873,554.3350567940754
tourism_total,3.1345979652374107,9.747510795786726
tourism_points_within_radius,0.6205875953374325,-1.0773327704415738
noise_day,0.17482865094438882,-0.6115031348524167
noise_night,0.2433197675664555,-0.49391107874084295
noise_points_within_radius,-55.4797289527925,3076.0003246753204
